v1,v2,v3
-0.928,0.172,0.304
-0.932,0.176,0.304
-0.92,0.16,0.3
-0.92,0.156,0.304
-0.92,0.168,0.3
-0.916,0.164,0.304
-0.924,0.164,0.304
-0.932,0.164,0.296
-0.928,0.156,0.296
-0.928,0.172,0.308
-0.928,0.176,0.304
-0.928,0.172,0.304
-0.92,0.172,0.3
-0.924,0.172,0.304
-0.928,0.176,0.304
-0.924,0.18,0.304
-0.92,0.176,0.304
-0.92,0.176,0.3
-0.92,0.18,0.304
-0.924,0.184,0.3
-0.916,0.18,0.308
-0.916,0.176,0.308
-0.924,0.172,0.312
-0.928,0.176,0.316
-0.932,0.168,0.308
-0.928,0.176,0.304
-0.936,0.168,0.312
-0.924,0.168,0.312
-0.928,0.168,0.304
-0.924,0.168,0.304
-0.92,0.168,0.308
-0.924,0.168,0.308
-0.928,0.164,0.308
-0.92,0.156,0.308
-0.928,0.168,0.308
-0.92,0.168,0.304
-0.924,0.172,0.316
-0.92,0.18,0.308
-0.924,0.168,0.304
-0.928,0.172,0.304
-0.916,0.172,0.304
-0.916,0.168,0.308
-0.916,0.172,0.304
-0.924,0.172,0.304
-0.924,0.176,0.304
-0.928,0.176,0.296
-0.92,0.164,0.308
-0.916,0.164,0.296
-0.92,0.172,0.296
-0.924,0.172,0.3
-0.932,0.168,0.296
-0.92,0.164,0.304
-0.924,0.164,0.312
-0.928,0.176,0.308
-0.924,0.168,0.308
-0.924,0.168,0.312
-0.924,0.168,0.304
-0.924,0.164,0.304
-0.928,0.164,0.308
-0.924,0.164,0.304
-0.92,0.164,0.3
-0.928,0.176,0.3
-0.924,0.172,0.304
-0.92,0.172,0.304
-0.924,0.172,0.304
-0.924,0.16,0.3
-0.928,0.168,0.3
-0.928,0.172,0.312
-0.92,0.164,0.3
-0.924,0.156,0.296
-0.928,0.172,0.312
-0.924,0.164,0.3
-0.916,0.168,0.3
-0.924,0.164,0.304
-0.924,0.16,0.312
-0.916,0.172,0.304
-0.92,0.168,0.296
-0.92,0.168,0.296
-0.92,0.164,0.312
-0.924,0.164,0.308
-0.928,0.176,0.312
-0.924,0.172,0.308
-0.924,0.176,0.304
-0.924,0.168,0.312
-0.928,0.168,0.304
-0.92,0.164,0.304
-0.928,0.168,0.312
-0.936,0.164,0.312
-0.928,0.164,0.32
-0.92,0.16,0.308
-0.932,0.164,0.308
-0.924,0.16,0.304
-0.92,0.156,0.312
-0.92,0.164,0.308
-0.916,0.172,0.308
-0.92,0.16,0.308
-0.92,0.168,0.304
-0.916,0.172,0.292
-0.916,0.18,0.304
-0.916,0.164,0.3
-0.912,0.164,0.304
-0.928,0.168,0.292
-0.932,0.172,0.292
-0.92,0.18,0.296
-0.924,0.18,0.296
-0.92,0.18,0.296
-0.92,0.16,0.296
-0.928,0.164,0.3
-0.924,0.16,0.3
-0.92,0.172,0.3
-0.912,0.172,0.3
-0.924,0.172,0.3
-0.924,0.172,0.3
-0.924,0.156,0.312
-0.92,0.164,0.312
-0.924,0.172,0.316
-0.932,0.172,0.312
-0.92,0.156,0.308
-0.924,0.16,0.312
-0.924,0.172,0.312
-0.924,0.18,0.312
-0.932,0.172,0.304
-0.928,0.164,0.312
-0.928,0.164,0.3
-0.916,0.172,0.3
-0.92,0.176,0.304
-0.92,0.164,0.296
-0.92,0.164,0.292
-0.928,0.168,0.304
-0.92,0.172,0.296
-0.92,0.172,0.296
-0.92,0.164,0.296
-0.924,0.176,0.292
-0.924,0.176,0.292
-0.928,0.176,0.304
-0.924,0.168,0.304
-0.92,0.164,0.308
-0.928,0.16,0.312
-0.928,0.172,0.308
-0.924,0.18,0.308
-0.928,0.176,0.3
-0.92,0.164,0.304
-0.92,0.164,0.3
-0.92,0.172,0.292
-0.928,0.172,0.312
-0.92,0.176,0.304
-0.924,0.176,0.312
-0.916,0.172,0.308
-0.92,0.18,0.304
-0.924,0.176,0.308
-0.92,0.168,0.312
-0.912,0.172,0.316
-0.92,0.18,0.304
-0.932,0.18,0.308
-0.928,0.176,0.312
-0.92,0.168,0.32
-0.924,0.18,0.308
-0.916,0.188,0.308
-0.912,0.188,0.312
-0.908,0.172,0.308
-0.924,0.184,0.32
-0.92,0.188,0.308
-0.916,0.188,0.308
-0.92,0.18,0.32
-0.92,0.184,0.324
-0.932,0.176,0.324
-0.928,0.176,0.336
-0.928,0.172,0.328
-0.928,0.176,0.328
-0.924,0.184,0.332
-0.924,0.168,0.352
-0.928,0.16,0.356
-0.924,0.18,0.356
-0.924,0.208,0.364
-0.924,0.208,0.372
-0.92,0.208,0.372
-0.92,0.2,0.376
-0.908,0.204,0.376
-0.908,0.212,0.392
-0.904,0.22,0.404
-0.904,0.224,0.408
-0.884,0.228,0.416
-0.884,0.236,0.428
-0.908,0.252,0.432
-0.872,0.252,0.444
-0.86,0.252,0.44
-0.864,0.248,0.46
-0.864,0.248,0.46
-0.844,0.248,0.48
-0.868,0.26,0.48
-0.852,0.264,0.46
-0.844,0.268,0.452
-0.84,0.252,0.456
-0.832,0.252,0.46
-0.824,0.236,0.452
-0.824,0.256,0.452
-0.808,0.256,0.468
-0.808,0.26,0.476
-0.8,0.26,0.484
-0.796,0.272,0.516
-0.804,0.272,0.532
-0.788,0.264,0.552
-0.796,0.284,0.564
-0.784,0.3,0.552
-0.776,0.296,0.556
-0.776,0.276,0.576
-0.772,0.26,0.584
-0.776,0.288,0.592
-0.772,0.312,0.604
-0.764,0.312,0.612
-0.744,0.296,0.62
-0.748,0.296,0.624
-0.748,0.34,0.664
-0.736,0.332,0.668
-0.736,0.3,0.672
-0.728,0.296,0.684
-0.708,0.336,0.684
-0.7,0.336,0.684
-0.676,0.308,0.664
-0.652,0.284,0.664
-0.64,0.284,0.672
-0.64,0.284,0.7
-0.624,0.296,0.748
-0.608,0.324,0.768
-0.612,0.328,0.812
-0.62,0.332,0.824
-0.612,0.316,0.86
-0.616,0.324,0.888
-0.616,0.296,0.912
-0.6,0.3,0.916
-0.576,0.336,0.924
-0.56,0.364,0.936
-0.548,0.336,0.968
-0.54,0.276,0.98
-0.532,0.28,0.98
-0.496,0.312,0.972
-0.476,0.34,0.964
-0.456,0.324,0.98
-0.452,0.284,1.02
-0.432,0.248,1.008
-0.38,0.292,0.956
-0.336,0.34,0.972
-0.312,0.308,0.992
-0.312,0.256,1
-0.276,0.24,0.972
-0.224,0.268,0.94
